customer_id,customer_name,region,age,gender,acquisition_channel,city
CUST0035,Rahul Bose,North,29,Male,Organic Search,Lucknow
CUST0036,Saanvi Kapoor,North,44,Male,Organic Search,Lucknow
CUST0037,Vikram Chopra,West,57,Male,Social Media,Surat
CUST0038,Ramesh Kapoor,West,19,Female,Organic Search,Ahmedabad
CUST0039,Aarav Gupta,East,30,Male,Social Media,Bhubaneswar
CUST0040,Ishaan Sharma,West,49,Male,Email Campaign,Ahmedabad
CUST0041,Krishna Menon,North,48,Male,Social Media,Lucknow
CUST0042,Riya Singh,North,33,Male,Email Campaign,Chandigarh
CUST0043,Divya Iyer,West,49,Female,Email Campaign,Ahmedabad
CUST0044,Shreya Reddy,South,49,Female,Social Media,Kochi
CUST0045,Nisha Patel,West,51,Male,Paid Ads,Surat
CUST0046,Naveen Gupta,West,28,Female,Referral,Surat
CUST0047,Ishaan Singh,North,27,Male,Organic Search,Delhi
CUST0048,Diya Verma,East,32,Male,Referral,Patna
CUST0049,Shreya Bose,North,34,Female,Organic Search,Lucknow
CUST0050,Suresh Reddy,East,57,Female,Organic Search,Kolkata
CUST0051,Divya Pillai,North,35,Female,Email Campaign,Lucknow
CUST0052,Swati Iyer,West,26,Male,Organic Search,Mumbai
CUST0053,Aarav Iyer,North,42,Female,Organic Search,Delhi
CUST0054,Lakshmi Kapoor,North,57,Male,Social Media,Jaipur
CUST0055,Kavya Iyer,North,31,Male,Referral,Jaipur
CUST0056,Aarav Reddy,West,42,Female,Social Media,Mumbai
CUST0057,Deepak Malhotra,West,39,Male,Organic Search,Surat
CUST0058,Nisha Patel,West,47,Female,Email Campaign,Mumbai
CUST0059,Meera Kapoor,West,37,Female,Social Media,Pune
CUST0060,Deepak Kumar,East,38,Male,Social Media,Guwahati
CUST0061,Isha Joshi,East,61,Male,Paid Ads,Guwahati
CUST0062,Pooja Gupta,South,49,Female,Organic Search,Kochi
CUST0063,Pooja Nair,West,63,Male,Email Campaign,Pune
CUST0064,Sanjay Reddy,East,38,Female,Social Media,Kolkata
CUST0065,Suresh Gupta,North,52,Female,Social Media,Lucknow
CUST0066,Meera Menon,West,49,Male,Email Campaign,Surat
CUST0067,Ramesh Nair,South,47,Female,Organic Search,Chennai
CUST0068,Isha Gupta,South,56,Female,Paid Ads,Bengaluru
CUST0069,Karthik Verma,South,29,Male,Social Media,Hyderabad
CUST0070,Sai Pillai,North,58,Female,Paid Ads,Jaipur
CUST0071,Zara Menon,East,64,Male,Referral,Patna
CUST0072,Naveen Gupta,North,35,Female,Organic Search,Chandigarh
CUST0073,Shreya Sharma,West,38,Female,Referral,Ahmedabad
CUST0074,Manish Desai,South,30,Male,Referral,Chennai
CUST0075,Isha Patel,North,38,Male,Referral,Jaipur
CUST0076,Aditya Gupta,North,25,Female,Organic Search,Jaipur
CUST0077,Sai Singh,East,63,Male,Organic Search,Kolkata
CUST0078,Manish Patel,East,57,Female,Email Campaign,Kolkata
CUST0079,Lakshmi Sharma,South,63,Male,Paid Ads,Chennai
CUST0080,Vikram Kapoor,North,24,Female,Paid Ads,Lucknow
CUST0081,Pooja Patel,North,40,Female,Email Campaign,Lucknow
CUST0082,Diya Gupta,East,61,Female,Email Campaign,Guwahati
CUST0083,Vivaan Iyer,North,49,Male,Referral,Lucknow
CUST0084,Lakshmi Das,North,28,Female,Email Campaign,Chandigarh
CUST0085,Riya Das,North,39,Female,Social Media,Jaipur
CUST0086,Vivaan Verma,East,39,Male,Paid Ads,Bhubaneswar
CUST0087,Naveen Reddy,South,60,Male,Email Campaign,Chennai
CUST0088,Pooja Sharma,West,42,Male,Social Media,Pune
CUST0089,Aarav Joshi,South,39,Female,Social Media,Chennai
CUST0090,Vivaan Pillai,West,45,Female,Social Media,Surat
CUST0091,Deepak Rao,North,46,Male,Social Media,Delhi
CUST0092,Pooja Nair,South,30,Female,Referral,Hyderabad
CUST0093,Ananya Das,West,35,Male,Social Media,Ahmedabad
CUST0094,Manisha Reddy,East,19,Male,Referral,Guwahati
CUST0095,Sneha Rao,East,46,Female,Referral,Kolkata
CUST0096,Karthik Menon,South,38,Female,Social Media,Kochi
CUST0097,Priya Sharma,South,32,Male,Paid Ads,Chennai
CUST0098,Ishaan Rao,North,44,Male,Social Media,Chandigarh
CUST0099,Priya Iyer,South,48,Female,Social Media,Hyderabad
CUST0100,Zara Nair,North,32,Male,Social Media,Jaipur
CUST0101,Tara Iyer,North,40,Male,Paid Ads,Chandigarh
CUST0102,Tara Desai,East,41,Male,Organic Search,Patna
CUST0103,Pooja Gupta,East,61,Female,Organic Search,Guwahati
CUST0104,Shreya Singh,West,30,Female,Referral,Surat
CUST0105,Nisha Mukherjee,East,39,Male,Referral,Patna
CUST0106,Swati Sharma,East,60,Female,Paid Ads,Kolkata
CUST0107,Ananya Mukherjee,South,54,Female,Email Campaign,Bengaluru
CUST0108,Suresh Kumar,East,50,Male,Organic Search,Guwahati
CUST0109,Divya Gupta,West,20,Female,Referral,Pune
CUST0110,Priya Bose,South,36,Female,Organic Search,Chennai
CUST0111,Vivaan Sharma,West,40,Male,Paid Ads,Ahmedabad
CUST0112,Diya Reddy,East,46,Male,Paid Ads,Bhubaneswar
CUST0113,Lakshmi Patel,West,47,Female,Email Campaign,Pune
CUST0114,Divya Joshi,South,56,Female,Email Campaign,Chennai
CUST0115,Priya Iyer,North,61,Female,Paid Ads,Lucknow
CUST0116,Zara Sharma,West,64,Male,Referral,Pune
CUST0117,Vikram Desai,West,42,Female,Organic Search,Pune
CUST0118,Ananya Das,South,54,Male,Social Media,Chennai
CUST0119,Krishna Nair,South,64,Male,Email Campaign,Kochi
CUST0120,Manisha Singh,West,25,Female,Social Media,Pune
CUST0121,Zara Iyer,East,59,Male,Referral,Guwahati
CUST0122,Anil Iyer,West,33,Male,Email Campaign,Surat
CUST0123,Anil Mukherjee,South,25,Male,Social Media,Hyderabad
CUST0124,Saanvi Verma,North,18,Male,Referral,Jaipur
CUST0125,Divya Bose,North,61,Male,Organic Search,Delhi
CUST0126,Kiran Sharma,East,22,Female,Referral,Bhubaneswar
CUST0127,Vihaan Sharma,West,20,Male,Email Campaign,Ahmedabad
CUST0128,Kavya Bose,North,18,Female,Paid Ads,Lucknow
CUST0129,Zara Singh,West,21,Female,Organic Search,Pune
CUST0130,Reyansh Iyer,South,57,Female,Social Media,Bengaluru
CUST0131,Riya Sharma,North,52,Male,Email Campaign,Jaipur
CUST0132,Diya Joshi,East,49,Female,Paid Ads,Bhubaneswar
CUST0133,Karthik Malhotra,South,59,Female,Referral,Hyderabad
CUST0134,Sanjay Rao,East,51,Female,Paid Ads,Kolkata
CUST0135,Manisha Chopra,South,60,Female,Email Campaign,Kochi
CUST0136,Krishna Verma,North,42,Female,Email Campaign,Delhi
CUST0137,Rahul Sharma,East,27,Male,Paid Ads,Guwahati
CUST0138,Naveen Kapoor,East,38,Female,Referral,Guwahati
CUST0139,Shreya Reddy,South,63,Female,Paid Ads,Bengaluru
CUST0140,Tara Nair,East,56,Female,Email Campaign,Patna
CUST0141,Divya Das,South,44,Female,Email Campaign,Chennai
CUST0142,Riya Pillai,South,44,Male,Social Media,Kochi
CUST0143,Naveen Malhotra,South,19,Female,Social Media,Hyderabad
CUST0144,Sai Iyer,South,58,Male,Organic Search,Bengaluru
CUST0145,Lakshmi Das,North,30,Male,Email Campaign,Lucknow
CUST0146,Neha Iyer,South,26,Male,Social Media,Chennai
CUST0147,Shreya Desai,West,53,Male,Paid Ads,Pune
CUST0148,Rahul Sharma,East,39,Female,Referral,Patna
CUST0149,Aditya Mukherjee,West,59,Male,Paid Ads,Surat
CUST0150,Anil Kumar,North,43,Male,Referral,Delhi
CUST0151,Neha Iyer,West,29,Female,Social Media,Surat
CUST0152,Swati Malhotra,East,34,Female,Organic Search,Patna
CUST0153,Vikram Mukherjee,West,31,Female,Paid Ads,Mumbai
CUST0154,Pooja Kapoor,North,31,Female,Paid Ads,Chandigarh
CUST0155,Karthik Verma,South,51,Female,Paid Ads,Chennai
CUST0156,Manish Kumar,West,37,Male,Referral,Pune
CUST0157,Vivaan Das,North,28,Male,Social Media,Lucknow
CUST0158,Swati Sharma,North,33,Female,Paid Ads,Lucknow
CUST0159,Ishaan Menon,East,48,Male,Paid Ads,Guwahati
CUST0160,Nisha Kumar,East,23,Female,Organic Search,Bhubaneswar
CUST0161,Deepak Iyer,West,36,Male,Organic Search,Pune
CUST0162,Anil Chopra,South,54,Male,Social Media,Bengaluru
CUST0163,Reyansh Nair,North,21,Female,Social Media,Lucknow
CUST0164,Zara Sharma,West,64,Female,Email Campaign,Surat
CUST0165,Krishna Malhotra,North,21,Female,Organic Search,Lucknow
CUST0166,Priya Malhotra,North,37,Female,Email Campaign,Delhi
CUST0167,Diya Joshi,South,27,Male,Referral,Chennai
CUST0168,Suresh Kapoor,South,41,Male,Email Campaign,Chennai
CUST0169,Naveen Verma,West,52,Female,Paid Ads,Ahmedabad
CUST0170,Vivaan Joshi,South,43,Female,Email Campaign,Hyderabad
CUST0171,Anil Das,South,54,Male,Social Media,Hyderabad
CUST0172,Sai Kapoor,West,55,Female,Referral,Mumbai
CUST0173,Lakshmi Sharma,South,38,Male,Paid Ads,Kochi
CUST0174,Krishna Pillai,East,57,Male,Email Campaign,Patna
CUST0175,Arjun Gupta,North,56,Male,Referral,Lucknow
CUST0176,Vihaan Rao,North,38,Female,Referral,Jaipur
CUST0177,Pooja Desai,North,27,Female,Paid Ads,Chandigarh
CUST0178,Sanjay Kapoor,North,55,Male,Email Campaign,Chandigarh
CUST0179,Divya Singh,West,63,Female,Referral,Pune
CUST0180,Priya Chopra,North,21,Male,Referral,Jaipur
CUST0181,Sanjay Joshi,North,62,Male,Organic Search,Jaipur
CUST0182,Riya Joshi,North,37,Male,Referral,Delhi
CUST0183,Naveen Reddy,North,34,Male,Organic Search,Jaipur
CUST0184,Deepak Patel,East,24,Male,Email Campaign,Guwahati
CUST0185,Diya Sharma,North,21,Female,Email Campaign,Jaipur
CUST0186,Aarav Kapoor,East,46,Female,Email Campaign,Patna
CUST0187,Sneha Bose,West,31,Female,Social Media,Ahmedabad
CUST0188,Anil Singh,South,20,Male,Email Campaign,Chennai
CUST0189,Aarav Bose,North,41,Male,Referral,Lucknow
CUST0190,Nisha Reddy,South,54,Male,Paid Ads,Hyderabad
CUST0191,Karthik Iyer,South,33,Male,Organic Search,Kochi
CUST0192,Diya Bose,West,21,Female,Social Media,Mumbai
CUST0193,Lakshmi Malhotra,South,41,Male,Email Campaign,Hyderabad
CUST0194,Naveen Reddy,East,51,Female,Email Campaign,Bhubaneswar
CUST0195,Sanjay Malhotra,South,47,Female,Paid Ads,Chennai
CUST0196,Arjun Pillai,South,35,Male,Paid Ads,Kochi
CUST0197,Priya Bose,South,36,Female,Social Media,Hyderabad
CUST0198,Rahul Gupta,North,48,Female,Organic Search,Chandigarh
CUST0199,Kiran Sharma,North,36,Female,Email Campaign,Lucknow
CUST0200,Sanjay Reddy,East,63,Female,Social Media,Patna
CUST0201,Suresh Kumar,East,36,Male,Referral,Guwahati
CUST0202,Arjun Nair,North,39,Male,Referral,Lucknow
CUST0203,Sneha Desai,East,41,Male,Social Media,Kolkata
CUST0204,Neha Kumar,North,62,Male,Email Campaign,Delhi
CUST0205,Tara Sharma,West,29,Female,Social Media,Ahmedabad
CUST0206,Arjun Chopra,South,47,Male,Email Campaign,Kochi
CUST0207,Vihaan Bose,South,55,Female,Paid Ads,Kochi
CUST0208,Vikram Bose,East,48,Female,Social Media,Kolkata
CUST0209,Vivaan Das,North,53,Male,Email Campaign,Lucknow
CUST0210,Naveen Desai,North,36,Male,Social Media,Jaipur
CUST0211,Vikram Pillai,East,62,Female,Social Media,Kolkata
CUST0212,Divya Sharma,North,53,Female,Email Campaign,Chandigarh
CUST0213,Shreya Joshi,West,47,Female,Email Campaign,Ahmedabad
CUST0214,Lakshmi Pillai,South,50,Male,Organic Search,Bengaluru
CUST0215,Aditya Sharma,East,35,Male,Social Media,Patna
CUST0216,Shreya Singh,East,45,Male,Referral,Guwahati
CUST0217,Rohan Menon,North,64,Male,Social Media,Jaipur
CUST0218,Ramesh Chopra,East,28,Female,Social Media,Guwahati
CUST0219,Diya Malhotra,West,62,Female,Email Campaign,Ahmedabad
CUST0220,Vivaan Joshi,North,50,Female,Social Media,Chandigarh
CUST0221,Divya Das,North,34,Female,Social Media,Lucknow
CUST0222,Deepak Singh,North,23,Female,Referral,Jaipur
CUST0223,Ramesh Kumar,North,21,Male,Email Campaign,Chandigarh
CUST0224,Deepak Verma,West,37,Male,Social Media,Ahmedabad
CUST0225,Reyansh Nair,North,64,Female,Paid Ads,Lucknow
CUST0226,Ananya Nair,East,44,Male,Organic Search,Kolkata
CUST0227,Anil Nair,West,32,Female,Referral,Ahmedabad
CUST0228,Rohan Reddy,South,23,Female,Social Media,Kochi
CUST0229,Ishaan Iyer,South,64,Male,Paid Ads,Hyderabad
CUST0230,Divya Bose,East,31,Female,Social Media,Patna
CUST0231,Kiran Mukherjee,East,28,Female,Social Media,Bhubaneswar
CUST0232,Nisha Reddy,West,56,Female,Email Campaign,Mumbai
CUST0233,Diya Das,South,26,Female,Email Campaign,Bengaluru
CUST0234,Isha Iyer,South,43,Female,Email Campaign,Bengaluru
CUST0235,Sanjay Das,South,33,Male,Paid Ads,Chennai
CUST0236,Zara Bose,South,22,Male,Social Media,Kochi
CUST0237,Anil Chopra,South,27,Female,Organic Search,Bengaluru
CUST0238,Tara Das,North,20,Female,Referral,Jaipur
CUST0239,Kiran Pillai,East,30,Male,Email Campaign,Patna
CUST0240,Tara Pillai,North,60,Male,Email Campaign,Chandigarh
CUST0241,Ishaan Gupta,South,47,Female,Social Media,Kochi
CUST0242,Naveen Malhotra,West,62,Female,Social Media,Pune
CUST0243,Neha Desai,West,23,Female,Paid Ads,Surat
CUST0244,Tara Kapoor,South,34,Female,Paid Ads,Chennai
CUST0245,Priya Reddy,South,62,Male,Email Campaign,Kochi
CUST0246,Divya Pillai,West,36,Male,Social Media,Mumbai
CUST0247,Anil Desai,North,59,Female,Organic Search,Chandigarh
CUST0248,Rahul Nair,North,52,Male,Referral,Jaipur
CUST0249,Suresh Bose,South,63,Male,Social Media,Bengaluru
CUST0250,Nisha Chopra,North,43,Male,Social Media,Jaipur
CUST0251,Nisha Malhotra,West,22,Female,Paid Ads,Mumbai
CUST0252,Neha Reddy,North,46,Female,Referral,Delhi
CUST0253,Divya Menon,South,54,Male,Email Campaign,Kochi
CUST0254,Ananya Mukherjee,West,37,Male,Social Media,Mumbai
CUST0255,Diya Patel,North,38,Female,Email Campaign,Chandigarh
CUST0256,Rohan Pillai,East,27,Female,Social Media,Patna
CUST0257,Riya Rao,West,22,Male,Email Campaign,Ahmedabad
CUST0258,Reyansh Malhotra,West,53,Male,Referral,Mumbai
CUST0259,Isha Singh,East,23,Male,Paid Ads,Patna
CUST0260,Ishaan Mukherjee,East,43,Female,Referral,Guwahati
CUST0261,Manish Verma,West,21,Male,Organic Search,Mumbai
CUST0262,Arjun Reddy,East,56,Male,Paid Ads,Patna
CUST0263,Manisha Joshi,South,56,Female,Referral,Chennai
CUST0264,Krishna Bose,South,52,Female,Organic Search,Kochi
CUST0265,Aarav Desai,South,18,Male,Social Media,Bengaluru
CUST0266,Riya Gupta,West,41,Female,Social Media,Ahmedabad
CUST0267,Anil Chopra,East,53,Male,Email Campaign,Bhubaneswar
CUST0268,Vihaan Nair,East,23,Female,Paid Ads,Kolkata
CUST0269,Sai Joshi,North,58,Male,Social Media,Jaipur
CUST0270,Nisha Kumar,North,63,Female,Paid Ads,Chandigarh
CUST0271,Deepak Joshi,East,61,Male,Social Media,Guwahati
CUST0272,Nisha Iyer,East,48,Female,Email Campaign,Patna
CUST0273,Isha Mukherjee,East,37,Female,Referral,Kolkata
CUST0274,Naveen Desai,West,41,Female,Email Campaign,Pune
CUST0275,Naveen Singh,East,42,Female,Organic Search,Guwahati
CUST0276,Nisha Sharma,North,53,Female,Social Media,Jaipur
CUST0277,Aditya Chopra,West,38,Male,Organic Search,Mumbai
CUST0278,Naveen Das,East,47,Male,Organic Search,Guwahati
CUST0279,Anil Sharma,North,41,Female,Paid Ads,Chandigarh
CUST0280,Manisha Rao,West,61,Male,Social Media,Mumbai
CUST0281,Pooja Chopra,East,59,Female,Organic Search,Patna
CUST0282,Rahul Bose,East,47,Female,Referral,Guwahati
CUST0283,Rahul Menon,East,39,Male,Organic Search,Kolkata
CUST0284,Lakshmi Nair,West,45,Female,Referral,Pune
CUST0285,Divya Joshi,North,24,Male,Paid Ads,Jaipur
CUST0286,Zara Mukherjee,North,52,Female,Organic Search,Jaipur
CUST0287,Kavya Kapoor,South,45,Male,Email Campaign,Hyderabad
CUST0288,Neha Sharma,East,31,Male,Paid Ads,Guwahati
CUST0289,Aditya Bose,South,27,Female,Referral,Bengaluru
CUST0290,Suresh Menon,South,33,Female,Paid Ads,Chennai
CUST0291,Diya Kumar,North,33,Female,Organic Search,Lucknow
CUST0292,Pooja Bose,West,48,Female,Social Media,Surat
CUST0293,Krishna Rao,West,59,Male,Social Media,Surat
CUST0294,Diya Singh,North,42,Female,Referral,Jaipur
CUST0295,Naveen Nair,West,30,Male,Referral,Pune
CUST0296,Deepak Singh,South,23,Female,Social Media,Hyderabad
CUST0297,Naveen Reddy,East,61,Female,Referral,Patna
CUST0298,Kiran Das,North,26,Female,Paid Ads,Lucknow
CUST0299,Ishaan Sharma,East,62,Female,Email Campaign,Kolkata
CUST0300,Zara Chopra,West,53,Male,Email Campaign,Pune
CUST0301,Naveen Bose,East,60,Female,Paid Ads,Patna
CUST0302,Ramesh Chopra,West,37,Male,Email Campaign,Mumbai
CUST0303,Divya Rao,West,35,Female,Organic Search,Ahmedabad
CUST0304,Saanvi Joshi,South,60,Male,Paid Ads,Kochi
CUST0305,Arjun Kapoor,West,38,Female,Referral,Mumbai
CUST0306,Anil Verma,South,21,Female,Paid Ads,Kochi
CUST0307,Rohan Mukherjee,South,50,Male,Social Media,Kochi
CUST0308,Arjun Sharma,South,44,Male,Referral,Chennai
CUST0309,Aarav Mukherjee,North,24,Female,Social Media,Lucknow
CUST0310,Pooja Kapoor,North,23,Male,Referral,Jaipur
CUST0311,Ananya Das,West,32,Male,Email Campaign,Mumbai
CUST0312,Isha Sharma,South,35,Male,Paid Ads,Bengaluru
CUST0313,Sneha Patel,North,49,Male,Organic Search,Chandigarh
CUST0314,Divya Sharma,South,28,Female,Referral,Bengaluru
CUST0315,Rahul Bose,East,37,Female,Referral,Kolkata
CUST0316,Sai Das,East,41,Male,Social Media,Patna
CUST0317,Arjun Reddy,East,32,Male,Email Campaign,Guwahati
CUST0318,Manisha Iyer,West,24,Male,Social Media,Pune
CUST0319,Suresh Reddy,South,38,Male,Social Media,Bengaluru
CUST0320,Lakshmi Kumar,East,59,Male,Email Campaign,Guwahati
CUST0321,Rohan Joshi,North,43,Male,Organic Search,Chandigarh
CUST0322,Riya Malhotra,East,61,Male,Social Media,Guwahati
CUST0323,Ishaan Malhotra,East,31,Female,Social Media,Patna
CUST0324,Aarav Joshi,East,54,Male,Referral,Guwahati
CUST0325,Isha Nair,West,38,Female,Email Campaign,Pune
CUST0326,Aarav Das,North,35,Female,Paid Ads,Jaipur
CUST0327,Swati Verma,South,22,Female,Organic Search,Chennai
CUST0328,Naveen Singh,North,20,Female,Organic Search,Jaipur
CUST0329,Nisha Verma,South,40,Female,Email Campaign,Bengaluru
CUST0330,Aditya Mukherjee,West,43,Female,Referral,Pune
CUST0331,Diya Sharma,West,54,Female,Referral,Ahmedabad
CUST0332,Arjun Das,West,41,Female,Email Campaign,Surat
CUST0333,Suresh Kapoor,West,36,Female,Referral,Mumbai
CUST0334,Lakshmi Malhotra,South,42,Female,Organic Search,Kochi
CUST0335,Vivaan Menon,East,38,Male,Organic Search,Guwahati
CUST0336,Nisha Rao,South,29,Male,Paid Ads,Chennai
CUST0337,Sneha Rao,North,58,Male,Email Campaign,Jaipur
CUST0338,Sneha Mukherjee,West,50,Female,Social Media,Mumbai
CUST0339,Sanjay Kapoor,West,21,Female,Social Media,Mumbai
CUST0340,Manish Joshi,North,59,Female,Paid Ads,Jaipur
CUST0341,Sneha Desai,South,24,Female,Paid Ads,Kochi
CUST0342,Manisha Sharma,East,39,Male,Referral,Patna
CUST0343,Vikram Kapoor,East,50,Male,Paid Ads,Patna
CUST0344,Sanjay Kumar,North,34,Female,Paid Ads,Lucknow
CUST0345,Riya Reddy,East,41,Female,Social Media,Bhubaneswar
CUST0346,Ramesh Nair,South,51,Female,Referral,Kochi
CUST0347,Rohan Das,South,45,Male,Paid Ads,Chennai
CUST0348,Rohan Das,North,60,Female,Paid Ads,Lucknow
CUST0349,Zara Reddy,South,58,Female,Referral,Kochi
CUST0350,Sneha Rao,West,56,Female,Email Campaign,Ahmedabad
CUST0351,Vivaan Chopra,North,39,Female,Referral,Delhi
CUST0352,Ananya Joshi,South,34,Female,Social Media,Kochi
CUST0353,Suresh Bose,North,51,Male,Email Campaign,Delhi
CUST0354,Neha Menon,East,23,Female,Organic Search,Guwahati
CUST0355,Priya Singh,South,63,Female,Referral,Hyderabad
CUST0356,Vihaan Singh,West,23,Female,Social Media,Pune
CUST0357,Vihaan Iyer,South,51,Female,Email Campaign,Hyderabad
CUST0358,Pooja Iyer,North,18,Male,Referral,Lucknow
CUST0359,Manish Mukherjee,North,27,Male,Paid Ads,Chandigarh
CUST0360,Tara Reddy,South,38,Female,Referral,Bengaluru
CUST0361,Saanvi Kumar,West,22,Female,Organic Search,Surat
CUST0362,Karthik Rao,West,19,Female,Referral,Surat
CUST0363,Aarav Reddy,West,39,Male,Email Campaign,Mumbai
CUST0364,Diya Malhotra,North,19,Female,Email Campaign,Delhi
CUST0365,Sneha Das,South,27,Female,Referral,Hyderabad
CUST0366,Kavya Chopra,East,51,Female,Email Campaign,Patna
CUST0367,Manish Patel,North,33,Male,Paid Ads,Delhi
CUST0368,Deepak Kapoor,West,56,Female,Referral,Ahmedabad
CUST0369,Karthik Kapoor,South,39,Female,Paid Ads,Bengaluru
CUST0370,Sanjay Menon,West,29,Male,Paid Ads,Surat
CUST0371,Riya Nair,East,41,Female,Social Media,Bhubaneswar
CUST0372,Aarav Singh,West,64,Female,Referral,Surat
CUST0373,Divya Desai,West,57,Female,Email Campaign,Mumbai
CUST0374,Meera Kapoor,East,55,Male,Paid Ads,Kolkata
CUST0375,Karthik Malhotra,South,27,Male,Social Media,Bengaluru
CUST0376,Deepak Malhotra,North,52,Male,Referral,Lucknow
CUST0377,Vikram Verma,South,49,Male,Referral,Kochi
CUST0378,Deepak Malhotra,East,24,Male,Organic Search,Patna
CUST0379,Reyansh Iyer,West,38,Female,Organic Search,Mumbai
CUST0380,Suresh Malhotra,South,37,Male,Paid Ads,Chennai
CUST0381,Saanvi Rao,North,43,Female,Organic Search,Lucknow
CUST0382,Divya Joshi,East,21,Female,Paid Ads,Guwahati
CUST0383,Meera Reddy,South,63,Female,Email Campaign,Hyderabad
CUST0384,Naveen Kumar,North,39,Female,Paid Ads,Jaipur
CUST0385,Nisha Das,East,32,Female,Organic Search,Guwahati
CUST0386,Nisha Pillai,North,57,Female,Email Campaign,Lucknow
CUST0387,Anil Das,East,38,Male,Organic Search,Patna
CUST0388,Isha Desai,West,32,Male,Paid Ads,Ahmedabad
CUST0389,Anil Nair,South,39,Female,Social Media,Hyderabad
CUST0390,Rohan Iyer,North,45,Female,Referral,Delhi
CUST0391,Saanvi Kapoor,East,31,Male,Organic Search,Kolkata
CUST0392,Kiran Kapoor,North,44,Female,Paid Ads,Lucknow
CUST0393,Karthik Verma,North,58,Female,Email Campaign,Lucknow
CUST0394,Krishna Singh,South,57,Male,Organic Search,Chennai
CUST0395,Tara Kumar,West,45,Female,Organic Search,Surat
CUST0396,Lakshmi Rao,North,43,Female,Referral,Lucknow
CUST0397,Deepak Verma,East,19,Male,Paid Ads,Patna
CUST0398,Sai Reddy,East,42,Female,Social Media,Patna
CUST0399,Shreya Rao,West,20,Male,Email Campaign,Pune
CUST0400,Sai Bose,East,25,Female,Paid Ads,Bhubaneswar
CUST0401,Vihaan Menon,West,61,Male,Email Campaign,Surat
CUST0402,Sanjay Patel,East,50,Male,Organic Search,Guwahati
CUST0403,Aditya Joshi,South,59,Female,Referral,Chennai
CUST0404,Neha Singh,North,52,Female,Referral,Lucknow
CUST0405,Lakshmi Nair,South,23,Male,Social Media,Kochi
CUST0406,Vikram Rao,North,56,Male,Referral,Lucknow
CUST0407,Vivaan Desai,North,40,Female,Organic Search,Delhi
CUST0408,Naveen Menon,North,42,Male,Social Media,Delhi
CUST0409,Vihaan Kapoor,South,60,Male,Paid Ads,Chennai
CUST0410,Sai Das,North,36,Male,Referral,Chandigarh
CUST0411,Sanjay Rao,South,22,Male,Social Media,Hyderabad
CUST0412,Vivaan Kapoor,West,28,Female,Organic Search,Mumbai
CUST0413,Ananya Singh,East,29,Female,Email Campaign,Bhubaneswar
CUST0414,Deepak Joshi,East,27,Male,Email Campaign,Patna
CUST0415,Arjun Rao,North,25,Female,Organic Search,Chandigarh
CUST0416,Deepak Nair,South,41,Male,Organic Search,Chennai
CUST0417,Tara Desai,East,45,Female,Email Campaign,Kolkata
CUST0418,Shreya Desai,South,58,Female,Social Media,Kochi
CUST0419,Diya Kapoor,South,53,Male,Email Campaign,Hyderabad
