customer_id,recency,frequency,monetary,customer_name,region,city,age,gender,acquisition_channel,R_score,F_score,M_score,RFM_score,rfm_segment,cluster,cluster_segment
CUST0120,26,11,90189.93,Manisha Singh,West,Pune,25,Female,Social Media,4,4,3,11,Champions,1,Champions
CUST0121,219,3,27278.17,Zara Iyer,East,Guwahati,59,Male,Referral,2,2,2,6,Potential Loyalists,0,At Risk
CUST0122,562,1,3762.62,Anil Iyer,West,Surat,33,Male,Email Campaign,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0123,5,6,19475.67,Anil Mukherjee,South,Hyderabad,25,Male,Social Media,4,3,2,9,Loyal Customers,2,Loyal Customers
CUST0124,85,15,169689.22999999998,Saanvi Verma,North,Jaipur,18,Male,Referral,3,4,4,11,Champions,1,Champions
CUST0126,124,3,8031.92,Kiran Sharma,East,Bhubaneswar,22,Female,Referral,2,2,1,5,At Risk,0,At Risk
CUST0127,227,2,9281.52,Vihaan Sharma,West,Ahmedabad,20,Male,Email Campaign,2,1,1,4,At Risk,0,At Risk
CUST0128,225,2,57297.42,Kavya Bose,North,Lucknow,18,Female,Paid Ads,2,1,3,6,Potential Loyalists,2,Loyal Customers
CUST0129,567,1,3394.21,Zara Singh,West,Pune,21,Female,Organic Search,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0130,10,10,68732.99,Reyansh Iyer,South,Bengaluru,57,Female,Social Media,4,3,3,10,Champions,1,Champions
CUST0131,665,1,3123.62,Riya Sharma,North,Jaipur,52,Male,Email Campaign,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0132,402,2,20165.47,Diya Joshi,East,Bhubaneswar,49,Female,Paid Ads,1,1,2,4,At Risk,3,Potential Loyalists
CUST0133,115,6,20517.36,Karthik Malhotra,South,Hyderabad,59,Female,Referral,2,3,2,7,Potential Loyalists,2,Loyal Customers
CUST0134,24,5,23426.66,Sanjay Rao,East,Kolkata,51,Female,Paid Ads,4,2,2,8,Loyal Customers,2,Loyal Customers
CUST0137,61,10,121555.76999999999,Rahul Sharma,East,Guwahati,27,Male,Paid Ads,3,3,4,10,Champions,1,Champions
CUST0138,189,4,17290.08,Naveen Kapoor,East,Guwahati,38,Female,Referral,2,2,2,6,Potential Loyalists,0,At Risk
CUST0139,188,10,113906.8,Shreya Reddy,South,Bengaluru,63,Female,Paid Ads,2,3,4,9,Loyal Customers,1,Champions
CUST0141,82,10,64116.62,Divya Das,South,Chennai,44,Female,Email Campaign,3,3,3,9,Loyal Customers,1,Champions
CUST0142,130,6,64742.19,Riya Pillai,South,Kochi,44,Male,Social Media,2,3,3,8,Loyal Customers,2,Loyal Customers
CUST0143,247,5,31809.059999999998,Naveen Malhotra,South,Hyderabad,19,Female,Social Media,1,2,2,5,At Risk,2,Loyal Customers
CUST0144,6,10,119603.3,Sai Iyer,South,Bengaluru,58,Male,Organic Search,4,3,4,11,Champions,1,Champions
CUST0145,60,7,86594.96,Lakshmi Das,North,Lucknow,30,Male,Email Campaign,3,3,3,9,Loyal Customers,2,Loyal Customers
CUST0146,92,2,31059.98,Neha Iyer,South,Chennai,26,Male,Social Media,3,1,2,6,Potential Loyalists,2,Loyal Customers
CUST0148,77,4,87008.09,Rahul Sharma,East,Patna,39,Female,Referral,3,2,3,8,Loyal Customers,2,Loyal Customers
CUST0149,293,2,18795.07,Aditya Mukherjee,West,Surat,59,Male,Paid Ads,1,1,2,4,At Risk,0,At Risk
CUST0150,71,4,21004.53,Anil Kumar,North,Delhi,43,Male,Referral,3,2,2,7,Potential Loyalists,2,Loyal Customers
CUST0151,16,7,19517.12,Neha Iyer,West,Surat,29,Female,Social Media,4,3,2,9,Loyal Customers,2,Loyal Customers
CUST0152,244,4,38633.84,Swati Malhotra,East,Patna,34,Female,Organic Search,1,2,2,5,At Risk,2,Loyal Customers
CUST0153,203,6,18440.03,Vikram Mukherjee,West,Mumbai,31,Female,Paid Ads,2,3,2,7,Potential Loyalists,2,Loyal Customers
CUST0154,22,9,38207.3,Pooja Kapoor,North,Chandigarh,31,Female,Paid Ads,4,3,2,9,Loyal Customers,2,Loyal Customers
CUST0155,138,11,103121.98000000001,Karthik Verma,South,Chennai,51,Female,Paid Ads,2,4,3,9,Loyal Customers,1,Champions
CUST0156,725,1,9167.36,Manish Kumar,West,Pune,37,Male,Referral,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0157,96,16,307023.35,Vivaan Das,North,Lucknow,28,Male,Social Media,3,4,4,11,Champions,1,Champions
CUST0158,373,3,11014.67,Swati Sharma,North,Lucknow,33,Female,Paid Ads,1,2,1,4,At Risk,3,Potential Loyalists
CUST0159,51,10,131596.79,Ishaan Menon,East,Guwahati,48,Male,Paid Ads,3,3,4,10,Champions,1,Champions
CUST0160,150,13,58881.42,Nisha Kumar,East,Bhubaneswar,23,Female,Organic Search,2,4,3,9,Loyal Customers,1,Champions
CUST0161,91,15,98717.37,Deepak Iyer,West,Pune,36,Male,Organic Search,3,4,3,10,Champions,1,Champions
CUST0162,262,6,26778.8,Anil Chopra,South,Bengaluru,54,Male,Social Media,1,3,2,6,Potential Loyalists,2,Loyal Customers
CUST0164,158,5,67908.84999999999,Zara Sharma,West,Surat,64,Female,Email Campaign,2,2,3,7,Potential Loyalists,2,Loyal Customers
CUST0165,91,6,50470.58,Krishna Malhotra,North,Lucknow,21,Female,Organic Search,3,3,2,8,Loyal Customers,2,Loyal Customers
CUST0166,150,7,131817.8,Priya Malhotra,North,Delhi,37,Female,Email Campaign,2,3,4,9,Loyal Customers,2,Loyal Customers
CUST0167,6,9,81362.59,Diya Joshi,South,Chennai,27,Male,Referral,4,3,3,10,Champions,1,Champions
CUST0168,181,2,3746.71,Suresh Kapoor,South,Chennai,41,Male,Email Campaign,2,1,1,4,At Risk,0,At Risk
CUST0169,376,1,19715.72,Naveen Verma,West,Ahmedabad,52,Female,Paid Ads,1,1,2,4,At Risk,3,Potential Loyalists
CUST0170,331,1,1949.05,Vivaan Joshi,South,Hyderabad,43,Female,Email Campaign,1,1,1,3,Lost / Dormant,0,At Risk
CUST0171,574,1,39008.25,Anil Das,South,Hyderabad,54,Male,Social Media,1,1,2,4,At Risk,3,Potential Loyalists
CUST0172,85,7,109507.35999999999,Sai Kapoor,West,Mumbai,55,Female,Referral,3,3,4,10,Champions,2,Loyal Customers
CUST0173,11,10,59296.0,Lakshmi Sharma,South,Kochi,38,Male,Paid Ads,4,3,3,10,Champions,1,Champions
CUST0174,5,8,97179.37,Krishna Pillai,East,Patna,57,Male,Email Campaign,4,3,3,10,Champions,1,Champions
CUST0175,10,14,141881.79,Arjun Gupta,North,Lucknow,56,Male,Referral,4,4,4,12,Champions,1,Champions
CUST0176,5,14,194071.49,Vihaan Rao,North,Jaipur,38,Female,Referral,4,4,4,12,Champions,1,Champions
CUST0177,215,5,77385.0,Pooja Desai,North,Chandigarh,27,Female,Paid Ads,2,2,3,7,Potential Loyalists,2,Loyal Customers
CUST0179,189,8,19284.04,Divya Singh,West,Pune,63,Female,Referral,2,3,2,7,Potential Loyalists,2,Loyal Customers
CUST0180,123,2,11092.02,Priya Chopra,North,Jaipur,21,Male,Referral,2,1,1,4,At Risk,0,At Risk
CUST0181,593,3,69208.75,Sanjay Joshi,North,Jaipur,62,Male,Organic Search,1,2,3,6,Potential Loyalists,3,Potential Loyalists
CUST0182,103,11,123256.79,Riya Joshi,North,Delhi,37,Male,Referral,3,4,4,11,Champions,1,Champions
CUST0184,454,1,73741.9,Deepak Patel,East,Guwahati,24,Male,Email Campaign,1,1,3,5,At Risk,3,Potential Loyalists
CUST0185,138,2,18577.64,Diya Sharma,North,Jaipur,21,Female,Email Campaign,2,1,2,5,At Risk,0,At Risk
CUST0187,8,13,127918.20000000001,Sneha Bose,West,Ahmedabad,31,Female,Social Media,4,4,4,12,Champions,1,Champions
CUST0189,243,1,796.1,Aarav Bose,North,Lucknow,41,Male,Referral,1,1,1,3,Lost / Dormant,0,At Risk
CUST0190,73,3,10064.87,Nisha Reddy,South,Hyderabad,54,Male,Paid Ads,3,2,1,6,Potential Loyalists,0,At Risk
CUST0191,40,5,21840.08,Karthik Iyer,South,Kochi,33,Male,Organic Search,4,2,2,8,Loyal Customers,2,Loyal Customers
CUST0192,32,19,141006.82,Diya Bose,West,Mumbai,21,Female,Social Media,4,4,4,12,Champions,1,Champions
CUST0194,7,7,157552.72,Naveen Reddy,East,Bhubaneswar,51,Female,Email Campaign,4,3,4,11,Champions,1,Champions
CUST0195,50,9,110908.85000000002,Sanjay Malhotra,South,Chennai,47,Female,Paid Ads,3,3,4,10,Champions,1,Champions
CUST0196,74,13,151927.68,Arjun Pillai,South,Kochi,35,Male,Paid Ads,3,4,4,11,Champions,1,Champions
CUST0197,119,8,73185.77,Priya Bose,South,Hyderabad,36,Female,Social Media,2,3,3,8,Loyal Customers,2,Loyal Customers
CUST0198,33,7,37014.2,Rahul Gupta,North,Chandigarh,48,Female,Organic Search,4,3,2,9,Loyal Customers,2,Loyal Customers
CUST0199,63,2,56248.28,Kiran Sharma,North,Lucknow,36,Female,Email Campaign,3,1,3,7,Potential Loyalists,2,Loyal Customers
CUST0200,186,5,51513.46,Sanjay Reddy,East,Patna,63,Female,Social Media,2,2,3,7,Potential Loyalists,2,Loyal Customers
CUST0201,38,3,61436.25,Suresh Kumar,East,Guwahati,36,Male,Referral,4,2,3,9,Loyal Customers,2,Loyal Customers
CUST0202,98,20,248896.61,Arjun Nair,North,Lucknow,39,Male,Referral,3,4,4,11,Champions,1,Champions
CUST0203,279,1,2277.75,Sneha Desai,East,Kolkata,41,Male,Social Media,1,1,1,3,Lost / Dormant,0,At Risk
CUST0204,522,2,7085.24,Neha Kumar,North,Delhi,62,Male,Email Campaign,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0205,256,4,19956.399999999998,Tara Sharma,West,Ahmedabad,29,Female,Social Media,1,2,2,5,At Risk,0,At Risk
CUST0206,575,2,21627.9,Arjun Chopra,South,Kochi,47,Male,Email Campaign,1,1,2,4,At Risk,3,Potential Loyalists
CUST0208,16,20,233520.65,Vikram Bose,East,Kolkata,48,Female,Social Media,4,4,4,12,Champions,1,Champions
CUST0209,53,10,51281.64,Vivaan Das,North,Lucknow,53,Male,Email Campaign,3,3,3,9,Loyal Customers,1,Champions
CUST0210,89,6,80098.09,Naveen Desai,North,Jaipur,36,Male,Social Media,3,3,3,9,Loyal Customers,2,Loyal Customers
CUST0211,133,8,27797.59,Vikram Pillai,East,Kolkata,62,Female,Social Media,2,3,2,7,Potential Loyalists,2,Loyal Customers
CUST0212,186,3,20645.5,Divya Sharma,North,Chandigarh,53,Female,Email Campaign,2,2,2,6,Potential Loyalists,0,At Risk
CUST0214,323,2,31584.56,Lakshmi Pillai,South,Bengaluru,50,Male,Organic Search,1,1,2,4,At Risk,0,At Risk
CUST0215,182,3,16682.42,Aditya Sharma,East,Patna,35,Male,Social Media,2,2,1,5,At Risk,0,At Risk
CUST0216,104,6,37186.67,Shreya Singh,East,Guwahati,45,Male,Referral,3,3,2,8,Loyal Customers,2,Loyal Customers
CUST0217,211,5,12851.57,Rohan Menon,North,Jaipur,64,Male,Social Media,2,2,1,5,At Risk,0,At Risk
CUST0219,199,5,137060.44,Diya Malhotra,West,Ahmedabad,62,Female,Email Campaign,2,2,4,8,Loyal Customers,2,Loyal Customers
CUST0220,38,18,181795.38999999998,Vivaan Joshi,North,Chandigarh,50,Female,Social Media,4,4,4,12,Champions,1,Champions
CUST0221,125,12,66872.15,Divya Das,North,Lucknow,34,Female,Social Media,2,4,3,9,Loyal Customers,1,Champions
CUST0222,62,13,51931.14,Deepak Singh,North,Jaipur,23,Female,Referral,3,4,3,10,Champions,1,Champions
CUST0223,79,12,92674.39,Ramesh Kumar,North,Chandigarh,21,Male,Email Campaign,3,4,3,10,Champions,1,Champions
CUST0224,214,3,12003.0,Deepak Verma,West,Ahmedabad,37,Male,Social Media,2,2,1,5,At Risk,0,At Risk
CUST0225,93,10,239239.46,Reyansh Nair,North,Lucknow,64,Female,Paid Ads,3,3,4,10,Champions,1,Champions
CUST0226,309,3,4910.76,Ananya Nair,East,Kolkata,44,Male,Organic Search,1,2,1,4,At Risk,0,At Risk
CUST0227,99,6,71369.11,Anil Nair,West,Ahmedabad,32,Female,Referral,3,3,3,9,Loyal Customers,2,Loyal Customers
CUST0228,79,8,106659.67,Rohan Reddy,South,Kochi,23,Female,Social Media,3,3,4,10,Champions,1,Champions
CUST0230,303,3,11778.8,Divya Bose,East,Patna,31,Female,Social Media,1,2,1,4,At Risk,0,At Risk
CUST0231,10,26,242780.02,Kiran Mukherjee,East,Bhubaneswar,28,Female,Social Media,4,4,4,12,Champions,1,Champions
CUST0232,356,1,1257.6,Nisha Reddy,West,Mumbai,56,Female,Email Campaign,1,1,1,3,Lost / Dormant,3,Potential Loyalists
CUST0233,50,10,58594.36,Diya Das,South,Bengaluru,26,Female,Email Campaign,3,3,3,9,Loyal Customers,1,Champions
